iteration,start_flag,x,y,raw_angle,distance,quality
1,0,2290.241187,1554.547942,34.1675,2768,188
1,0,0,0,34.6014,0,0
1,0,2331.775172,1621.241669,34.8102,2840,188
1,0,2322.880921,1633.959678,35.1233,2840,188
1,0,2349.285088,1672.81666,35.4529,2884,188
1,0,2317.549464,1669.041786,35.7605,2856,188
1,0,2307.909831,1682.346044,36.0901,2856,188
1,0,2321.218124,1711.549713,36.4032,2884,188
1,0,2314.539635,1727.266707,36.7328,2888,188
1,0,2308.25887,1742.298766,37.0459,2892,188
1,0,2323.797926,1774.750461,37.37,2924,188
1,0,2339.389854,1806.983981,37.6831,2956,188
1,0,2328.956338,1820.411595,38.0127,2956,188
1,0,2347.215645,1855.435991,38.3258,2992,188
1,0,2336.503276,1868.907821,38.6554,2992,188
1,0,2326.255558,1881.647969,38.9685,2992,188
1,0,0,0,39.408,0,0
1,0,2332.922072,1930.351938,39.6057,3028,188
1,0,2327.913138,1948.875681,39.9353,3036,188
1,0,0,0,40.3693,0,0
1,0,2344.668964,2003.392984,40.5121,3084,188
1,0,0,0,41.012,0,0
1,0,0,0,41.3306,0,0
1,0,0,0,41.6547,0,0
1,0,0,0,41.9733,0,0
1,0,2190.251527,1985.128271,42.1875,2956,188
1,0,2176.613249,1994.156154,42.4951,2952,188
1,0,2165.105704,2006.644286,42.8247,2952,188
1,0,0,0,43.2532,0,0
1,0,2049.562935,1942.747481,43.4674,2824,188
1,0,2038.915997,1953.918513,43.7805,2824,188
1,0,2024.958596,1962.636667,44.1046,2820,188
1,0,2002.775235,1962.474804,44.4177,2804,188
1,0,1974.407571,1957.067894,44.7473,2780,188
1,0,1952.381725,1956.502389,45.0604,2764,188
1,0,1935.476278,1962.006008,45.39,2756,188
1,0,1903.111904,1954.520166,45.7635,2728,188
1,0,1892.399391,1964.894029,46.0767,2728,188
1,0,1908.192986,1999.623847,46.3403,2764,188
1,0,1888.424022,2001.838833,46.6699,2752,188
1,0,0,0,47.1039,0,0
1,0,1901.304341,2060.936147,47.3071,2804,188
1,0,1868.44442,2047.657064,47.6202,2772,188
1,0,1845.917703,2046.490614,47.9498,2756,188
1,0,1834.706892,2056.547257,48.2629,2756,188
1,0,1822.846095,2067.067516,48.5925,2756,188
1,0,1811.124395,2077.345524,48.9166,2756,188
1,0,1781.688278,2071.089298,49.2957,2732,188
1,0,1754.791933,2062.515278,49.6088,2708,188
1,0,1719.924438,2044.857924,49.9329,2672,188
1,0,1685.702693,2026.54939,50.246,2636,188
1,0,1674.016927,2036.212987,50.5756,2636,188
1,0,1662.864845,2045.330415,50.8887,2636,188
1,0,1646.060579,2048.62602,51.2183,2628,188
1,0,1622.595373,2041.77576,51.5259,2608,188
1,0,1588.587773,2022.763676,51.8555,2572,188
1,0,1572.603742,2025.095917,52.1686,2564,188
1,0,1558.493063,2030.935591,52.4982,2560,188
1,0,1535.282705,2023.488823,52.8113,2540,188
1,0,1519.012704,2025.740459,53.1354,2532,188
1,0,1503.155804,2027.584432,53.4485,2524,188
1,0,1484.376135,2026.517083,53.7781,2512,188
1,0,1463.895921,2021.63912,54.0912,2496,188
1,0,1447.58745,2023.520342,54.4208,2488,188
1,0,1434.19861,2028.134696,54.7339,2484,188
1,0,1411.248417,2019.820266,55.058,2464,188
1,0,1399.605901,2027.905156,55.3876,2464,188
1,0,1386.249252,2032.218741,55.7007,2460,188
1,0,1359.577404,2021.297921,56.0742,2436,188
1,0,1341.287207,2019.090049,56.4038,2424,188
1,0,1321.453243,2013.01399,56.7169,2408,188
1,0,1305.499702,2013.869541,57.0465,2400,188
1,0,1290.35365,2014.11307,57.3541,2392,188
1,0,1276.607595,2018.122159,57.6837,2388,188
1,0,1263.44044,2021.676101,57.9968,2384,188
1,0,1237.087466,2005.081196,58.3264,2356,188
1,0,1221.948663,2004.980166,58.6395,2348,188
1,0,1216.774769,2022.142221,58.9636,2360,188
1,0,1195.488555,2011.568322,59.2767,2340,188
1,0,1173.778301,2001.160788,59.6063,2320,188
1,0,1160.820363,2004.083852,59.9194,2316,188
1,0,1147.28759,2007.255635,60.249,2312,188
1,0,1130.403854,2003.044465,60.5621,2300,188
1,0,1117.109201,2005.91202,60.8862,2296,188
1,0,1104.203959,2008.48142,61.1993,2292,188
1,0,1088.818029,2007.767741,61.5289,2284,188
1,0,1073.476976,2006.943742,61.8585,2276,188
1,0,1060.626505,2009.242498,62.1716,2272,188
1,0,1041.855049,2001.018255,62.4957,2256,188
1,0,1027.249041,1999.565805,62.8088,2248,188
1,0,1015.729395,2005.442045,63.1384,2248,188
1,0,1002.967472,2007.38443,63.4515,2244,188
1,0,989.636043,2009.532409,63.7811,2240,188
1,0,967.792985,1997.943127,64.1547,2220,188
1,0,951.6883581,1992.373777,64.4678,2208,188
1,0,938.6994781,1994.106138,64.7919,2204,188
